,time,count,frame
245,2020-01-22 01:38:20.416666585,0,245
246,2020-01-22 01:38:44.499999918,0,246
247,2020-01-22 01:39:08.583333251,0,247
248,2020-01-22 01:39:32.666666584,0,248
249,2020-01-22 01:39:56.749999917,0,249
250,2020-01-22 01:40:20.833333250,0,250
251,2020-01-22 01:40:44.916666583,0,251
252,2020-01-22 01:41:08.999999916,0,252
253,2020-01-22 01:41:33.083333249,0,253
254,2020-01-22 01:41:57.166666582,0,254
255,2020-01-22 01:42:21.249999915,0,255
256,2020-01-22 01:42:45.333333248,0,256
257,2020-01-22 01:43:09.416666581,0,257
258,2020-01-22 01:43:33.499999914,0,258
259,2020-01-22 01:43:57.583333247,0,259
260,2020-01-22 01:44:21.666666580,0,260
261,2020-01-22 01:44:45.749999913,0,261
262,2020-01-22 01:45:09.833333246,0,262
263,2020-01-22 01:45:33.916666579,0,263
264,2020-01-22 01:45:57.999999912,0,264
265,2020-01-22 01:46:22.083333245,0,265
266,2020-01-22 01:46:46.166666578,0,266
267,2020-01-22 01:47:10.249999911,0,267
268,2020-01-22 01:47:34.333333244,0,268
269,2020-01-22 01:47:58.416666577,0,269
270,2020-01-22 01:48:22.499999910,0,270
271,2020-01-22 01:48:46.583333243,0,271
272,2020-01-22 01:49:10.666666576,0,272
273,2020-01-22 01:49:34.749999909,0,273
274,2020-01-22 01:49:58.833333242,0,274
275,2020-01-22 01:50:22.916666575,0,275
276,2020-01-22 01:50:46.999999908,0,276
277,2020-01-22 01:51:11.083333241,0,277
278,2020-01-22 01:51:35.166666574,0,278
279,2020-01-22 01:51:59.249999907,0,279
280,2020-01-22 01:52:23.333333240,0,280
281,2020-01-22 01:52:47.416666573,0,281
282,2020-01-22 01:53:11.499999906,0,282
283,2020-01-22 01:53:35.583333239,0,283
284,2020-01-22 01:53:59.666666572,0,284
285,2020-01-22 01:54:23.749999905,0,285
286,2020-01-22 01:54:47.833333238,0,286
287,2020-01-22 01:55:11.916666571,0,287
